Date;Time;Temp;Indice UV;UV REF;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:47 a. m.;24,06;3500;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:49 a. m.;-127;2421;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:51 a. m.;24,06;3061;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:53 a. m.;24,06;4018;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:55 a. m.;24,06;2841;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:57 a. m.;24,06;2988;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:30:59 a. m.;24,06;3623;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:01 a. m.;24,06;2993;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:03 a. m.;24,06;2553;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:05 a. m.;24,06;3032;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:07 a. m.;24,06;3081;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:09 a. m.;24,06;2685;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:11 a. m.;24;3037;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:13 a. m.;24;3173;3305,66;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:15 a. m.;24;2910;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:17 a. m.;-127;3969;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:19 a. m.;24;2915;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:21 a. m.;24;3798;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:23 a. m.;24;2744;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:25 a. m.;24;2973;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:27 a. m.;24;3769;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:29 a. m.;24;2534;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:31 a. m.;24;3066;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:33 a. m.;24;3906;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:35 a. m.;24;3188;3300,78;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:37 a. m.;-127;2626;3295,9;;;;;;;;;;;;;;;;;;;;;
20/4/2018;10:31:39 a. m.;23,94;2543;3295,9;;;;;;;;;;;;;;;;;;;;;
