VARIABLE1,REGISTRO,DATE,Temp
1,559,20-4-2018 10:44:38,-127
1,560,20-4-2018 10:44:41,23.75
1,561,20-4-2018 10:44:43,23.75
1,562,20-4-2018 10:44:45,23.75
1,563,20-4-2018 10:44:47,23.75
1,564,20-4-2018 10:44:49,23.75
1,565,20-4-2018 10:44:51,23.75
1,566,20-4-2018 10:44:53,23.75
1,567,20-4-2018 10:44:55,23.75
1,568,20-4-2018 10:44:57,23.75
1,569,20-4-2018 10:44:59,23.75
1,570,20-4-2018 10:45:01,23.75
1,571,20-4-2018 10:45:03,23.75
1,572,20-4-2018 10:45:05,23.75
1,573,20-4-2018 10:45:07,23.75
1,574,20-4-2018 10:45:09,23.75
1,575,20-4-2018 10:45:11,23.75
1,576,20-4-2018 10:45:13,23.75
1,577,20-4-2018 10:45:15,23.75
1,578,20-4-2018 10:45:17,23.75
1,579,20-4-2018 10:45:19,23.75
1,580,20-4-2018 10:45:21,23.75
1,581,20-4-2018 10:45:23,23.75
1,582,20-4-2018 10:45:25,23.75
1,583,20-4-2018 10:45:27,23.75
1,584,20-4-2018 10:45:29,23.75
1,585,20-4-2018 10:45:31,23.69
1,586,20-4-2018 10:45:33,23.75
1,587,20-4-2018 10:45:35,23.69
1,588,20-4-2018 10:45:37,23.69
1,589,20-4-2018 10:45:39,23.69
1,590,20-4-2018 10:45:41,23.69
1,591,20-4-2018 10:45:43,-127
1,592,20-4-2018 10:45:45,23.69
1,593,20-4-2018 10:45:47,23.69
1,594,20-4-2018 10:45:49,23.69
1,595,20-4-2018 10:45:51,23.69
1,596,20-4-2018 10:45:53,23.69
1,597,20-4-2018 10:45:55,23.69
1,598,20-4-2018 10:45:57,23.69
1,599,20-4-2018 10:45:59,23.69
1,600,20-4-2018 10:46:01,23.69
1,601,20-4-2018 10:46:03,23.69
1,602,20-4-2018 10:46:05,23.69
1,603,20-4-2018 10:46:07,23.63
1,604,20-4-2018 10:46:09,23.69
1,605,20-4-2018 10:46:11,23.63
1,606,20-4-2018 10:46:13,23.63
1,607,20-4-2018 10:46:15,23.63
1,608,20-4-2018 10:46:17,23.63
1,609,20-4-2018 10:46:19,23.63
1,610,20-4-2018 10:46:21,23.63
1,611,20-4-2018 10:46:23,23.63
1,612,20-4-2018 10:46:25,23.63
1,613,20-4-2018 10:46:28,23.63
1,614,20-4-2018 10:46:29,23.63
1,615,20-4-2018 10:46:32,23.63
1,616,20-4-2018 10:46:34,23.63
1,617,20-4-2018 10:46:36,23.63
1,618,20-4-2018 10:46:38,23.63
1,619,20-4-2018 10:46:40,23.63
1,620,20-4-2018 10:46:42,23.63
1,621,20-4-2018 10:46:44,23.63
1,622,20-4-2018 10:46:46,23.63
1,623,20-4-2018 10:46:48,23.63
1,624,20-4-2018 10:46:50,23.63
1,625,20-4-2018 10:46:52,23.63
1,626,20-4-2018 10:46:54,23.63
1,627,20-4-2018 10:46:56,23.63
1,628,20-4-2018 10:46:58,23.63
1,629,20-4-2018 10:47:00,23.63
1,630,20-4-2018 10:47:02,-127
1,631,20-4-2018 10:47:04,23.63
1,632,20-4-2018 10:47:06,23.63
1,633,20-4-2018 10:47:08,23.63
1,634,20-4-2018 10:47:10,23.63
1,635,20-4-2018 10:47:12,23.63
1,636,20-4-2018 10:47:14,23.63
1,637,20-4-2018 10:47:16,23.63
1,638,20-4-2018 10:47:18,23.63
1,639,20-4-2018 10:47:20,23.63
1,640,20-4-2018 10:47:22,23.63
1,641,20-4-2018 10:47:24,23.63
1,642,20-4-2018 10:47:26,23.63
1,643,20-4-2018 10:47:28,-127
1,644,20-4-2018 10:47:30,23.56
1,645,20-4-2018 10:47:32,23.56
1,646,20-4-2018 10:47:34,23.56
1,647,20-4-2018 10:47:36,23.56
1,648,20-4-2018 10:47:38,23.56
1,649,20-4-2018 10:47:40,23.56
1,650,20-4-2018 10:47:42,23.56
1,651,20-4-2018 10:47:44,23.56
1,652,20-4-2018 10:47:46,23.56
1,653,20-4-2018 10:47:48,23.56
1,654,20-4-2018 10:47:50,23.56
1,655,20-4-2018 10:47:52,23.63
1,656,20-4-2018 10:47:54,23.63
1,657,20-4-2018 10:47:56,23.63
1,658,20-4-2018 10:47:58,-127
1,659,20-4-2018 10:48:00,23.63
1,660,20-4-2018 10:48:02,23.56
1,661,20-4-2018 10:48:04,23.56
1,662,20-4-2018 10:48:06,23.56
1,663,20-4-2018 10:48:08,23.56
1,664,20-4-2018 10:48:10,23.56
1,665,20-4-2018 10:48:12,23.5
1,666,20-4-2018 10:48:14,23.5
1,667,20-4-2018 10:48:16,23.5
1,668,20-4-2018 10:48:18,23.5
1,669,20-4-2018 10:48:21,23.5
1,670,20-4-2018 10:48:23,-127
